heuristic,wins,games,durations,win_rate,avg_duration, won_against
1,6,9,"[4.7142579555511475, 174.76029658317566, 2.780592441558838, 122.2932698726654, 36.17933106422424, 152.57408738136292, 141.62099885940552, 11.28984022140503, 148.5687289237976]",0.6666666666666666,88.30904481146071,"[2,4,5,6,8,9]"
2,2,9,"[4.7142579555511475, 3.676259756088257, 125.99156785011292, 3.6849725246429443, 47.27744746208191, 124.51763105392456, 1.837672472000122, 1.8484091758728027, 130.9285888671875]",0.2222222222222222,49.38631190194024,"[4,9]"
3,9,9,"[174.76029658317566, 3.676259756088257, 3.6849725246429443, 2.7767586708068848, 112.18335556983948, 14.12364935874939, 119.80181884765625, 125.10149717330933, 15.938995361328125, 129.6362898349762]",1.0,70.16838936805725,"[1,2,4,5,6,7,8,9,10]"
4,0,9,"[2.780592441558838, 125.99156785011292, 2.7767586708068848, 47.74334192276001, 135.9462742805481, 1.8641741275787354, 1.8647682666778564, 147.98123264312744, 15.742662191390991]",0.0,53.632374710506866,"[]"
5,4,9,"[122.2932698726654, 47.27744746208191, 112.18335556983948, 47.74334192276001, 58.38183093070984, 142.79756665229797, 139.99801325798035, 46.37450933456421, 129.85760378837585]",0.4444444444444444,94.10077097680833,"[2,4,6,9]"
6,2,9,"[36.17933106422424, 124.51763105392456, 14.12364935874939, 135.9462742805481, 58.38183093070984, 60.14915680885315, 60.50435733795166, 150.0946910381317, 87.15560245513916]",0.2222222222222222,80.78361381424799,"[2,4]"
7,8,9,"[152.57408738136292, 1.837672472000122, 119.80181884765625, 1.8641741275787354, 142.79756665229797, 60.14915680885315, 144.91371774673462, 52.04311418533325, 129.64440083503723]",0.8888888888888888,89.51396767298381,"[1,2,4,5,6,8,9,10]"
8,5,9,"[141.62099885940552, 1.8484091758728027, 125.10149717330933, 1.8647682666778564, 139.99801325798035, 60.50435733795166, 144.91371774673462, 52.1438992023468, 115.72956228256226]",0.5555555555555556,87.08058036698236,"[2,4,5,6,9]"
9,2,9,"[11.28984022140503, 130.9285888671875, 15.938995361328125, 147.98123264312744, 46.37450933456421, 150.0946910381317, 52.04311418533325, 52.1438992023468, 59.65849542617798]",0.2222222222222222,74.0503740310669,"[4,6]"
10,7,9,"[148.5687289237976, 129.6362898349762, 15.742662191390991, 129.85760378837585, 87.15560245513916, 129.64440083503723, 115.72956228256226, 59.65849542617798]",0.7777777777777778,101.99916821718216,"[1,2,4,5,6,8,9]"
